"PublishedIndicatorDashboardId","PublishedIndicatorId","DashboardId","DashboardNameEN","DashboardNameAR","SortOrder","EntityClassification","EntityClassificationName","EntityId","CreatedAt","UpdatedAt"
"a46fe974-6fbf-44b0-c693-08dea8e8edb5","38bb0719-b784-4ccb-8a62-08dea8e8edb0","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","2","6","DiversificationTargets","","5/14/2026 8:57:39 AM",""
"214c7db9-b4e7-4754-c694-08dea8e8edb5","38bb0719-b784-4ccb-8a62-08dea8e8edb0","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","2","6","DiversificationTargets","","5/14/2026 8:57:39 AM",""
"843d5b26-b103-40bd-c697-08dea8e8edb5","10e4668d-b127-41eb-8a64-08dea8e8edb0","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","4","6","DiversificationTargets","","5/14/2026 9:41:17 AM",""
"1f278e38-b2fe-423a-c698-08dea8e8edb5","10e4668d-b127-41eb-8a64-08dea8e8edb0","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","4","6","DiversificationTargets","","5/14/2026 9:41:17 AM",""
"88551558-df2b-4919-0ac9-08deb3df601c","d7b556c3-8765-45ae-e336-08deb3df601a","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","1","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","5/17/2026 9:41:50 AM",""
"7a692ef1-0e24-4802-0aca-08deb3df601c","d7b556c3-8765-45ae-e336-08deb3df601a","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","1","7","Sectors","0679a403-9ca5-4a05-952b-53250586775b","5/17/2026 9:41:50 AM",""
"a6984b14-9494-49a2-0acd-08deb3df601c","2a129acb-a3cd-41ea-e338-08deb3df601a","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","5","7","Sectors","183e97e8-172e-48bf-afb2-46b453b7ad23","5/17/2026 11:47:11 AM",""
"11a6cce0-81ff-48a8-0ace-08deb3df601c","2a129acb-a3cd-41ea-e338-08deb3df601a","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","5","7","Sectors","183e97e8-172e-48bf-afb2-46b453b7ad23","5/17/2026 11:47:11 AM",""
"e866d834-9657-457b-0adb-08deb3df601c","efaa43e4-e034-4297-e33f-08deb3df601a","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","5","6","DiversificationTargets","","5/20/2026 10:37:37 AM",""
"50123981-7b67-47b1-0adc-08deb3df601c","efaa43e4-e034-4297-e33f-08deb3df601a","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","5","6","DiversificationTargets","","5/20/2026 10:37:37 AM",""
"0033c93b-112e-4a30-c754-08deb3ea9ade","88b5dbfb-cfbd-4f0b-d61f-08deb3ea9ad6","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","7","6","DiversificationTargets","","5/20/2026 1:19:09 PM",""
"bc3b7d0e-f0c1-4c32-c755-08deb3ea9ade","88b5dbfb-cfbd-4f0b-d61f-08deb3ea9ad6","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","7","6","DiversificationTargets","","5/20/2026 1:19:09 PM",""
"be278513-9527-4736-0b8d-08deb9658cc1","696c81d9-3d16-419d-23c8-08deb9658cc0","2b055b1b-49d1-40d9-810f-62a36bfec97d","Executive Dashboard","لوحة القيادة التنفيذية","3","3","SpecialProjects","831507e5-1f46-4d68-5d78-08de9e0a394b","5/24/2026 10:36:35 AM",""
"475a3c9e-8e47-4994-0b8e-08deb9658cc1","696c81d9-3d16-419d-23c8-08deb9658cc0","1369d2fe-81d7-40e4-a375-c87b528712fa","Leadership Dashboard","منصة القيادة","3","3","SpecialProjects","831507e5-1f46-4d68-5d78-08de9e0a394b","5/24/2026 10:36:35 AM",""
