"PublishedIndicatorId","SourceIndicatorId","NameEN","NameAR","IndicatorTypeId","IndicatorTypeEN","IndicatorTypeAR","IndicatorTypeCode","IndicatorPriorityTypeId","PriorityTypeEN","PriorityTypeAR","PriorityTypeCode","PriorityRanking","IndicatorEntityTypeId","EntityClassification","EntityClassificationName","PublishingStatus","PublishingStatusName","Published","IsActive","InactiveReason","Completed","IsAnalysisAdded","ShowBenchmarksOnOverview","IsRankingOrRatingIndicator","OverlayEN","OverlayAR","Comment","CreatedAt","UpdatedAt"
"2eb9e540-a156-40b0-b54a-08ddb722adc3","418c1a6b-437a-4e1c-8676-edad98b51c70","Domestic Investments into the Sector","الاستثمار المحلي في القطاع","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","0679a403-9ca5-4a05-952b-53250586775b","7","Sectors","2","Amended","True","False","","True","False","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 7:11:23 PM",""
"4621e313-d65e-460b-b55b-08ddb722adc3","cc33274f-3ad6-45a1-b941-f16c26574ace","Graduates from STEM ( Share of All Graduates )","نسبة المتخرجين من تخصصات العلوم، تكنولوجيا المعلومات، الهندسة، والرياضيات (من أصل جميع الخريجين)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","3769563e-2ced-4ad9-9663-e74fcf662806","7","Sectors","2","Amended","True","False","","True","False","False","False","","","","6/29/2025 8:14:41 PM",""
"d721ff2f-6278-4b48-b562-08ddb722adc3","b38962c9-acda-4bd3-9bb9-b51e3365d6d0","Private Sector Investment into the Sector (Health)","استثمار القطاع الخاص في القطاع(الرعاية الصحية)","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","f48b7019-ef34-4eb7-859d-2e4bde81d3c1","7","Sectors","2","Amended","True","True","","True","False","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 8:23:44 PM",""
"ce90f312-89d7-4642-b563-08ddb722adc3","b986244e-f9b6-4e22-ab4b-b13601493b7b","Share of Licensed Doctors Employed in Private Sector ","نسبة الأطباء المرخصين العاملين بالقطاع الخاص ","c70c10e6-764c-4ec7-a7a4-e96d4e72d76d","Sector Indicator","قطاع","sectorindicator","2","Priority","مشروع ذو أولوية","priority","2","f48b7019-ef34-4eb7-859d-2e4bde81d3c1","7","Sectors","2","Amended","True","False","","True","False","False","False","This indicator will be activated once it is published in the National Central Database","سيتم تفعيل المؤشر حين نشره من قبل قاعدة البيانات المركزية للدولة","","6/29/2025 8:24:43 PM",""
"9261cd38-6628-44b6-b56d-08ddb722adc3","3b2f2717-e12a-4e9c-95f5-a8d1a197e94d","Number of new requests to amend or change relevant legislation","عدد الطلبات الجديدة لتعديل أو تغير تشريعات ذات علاقة","d4021384-4690-4a13-9ee6-fa63aef5d4f1","Program Indicator","برنامج","programindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","False","False","False","","","","6/29/2025 11:11:25 PM",""
"d946e532-7a4a-465c-b56e-08ddb722adc3","e6f42ea3-2943-48dc-a4fb-8e2db81927dc","Number of large companies targeted","عدد الشركات الكبرى المستهدفة ","d4021384-4690-4a13-9ee6-fa63aef5d4f1","Program Indicator","برنامج","programindicator","2","Priority","مشروع ذو أولوية","priority","2","39740084-7387-4caa-886a-8bd5c71fd799","7","Sectors","2","Amended","True","False","","True","False","False","False","","","","6/29/2025 11:17:10 PM",""
"f726cf23-d70b-4f87-b572-08ddb722adc3","1b069add-ccd9-4ecf-bf96-5c01d4ad9dbe","Diabetes Rate","معدل داء السكري","43193c15-058d-4124-a152-aec091e2f2b4","Enablers","عوامل التمكين","enablers","2","Priority","مشروع ذو أولوية","priority","2","d0b039d5-04b0-42b6-a656-c4d66d506e67","1","Enablers","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 10:50:05 AM",""
"4cf28eb0-d3d3-436b-b573-08ddb722adc3","38467659-d279-4591-931e-4a6f17af6af5","Physically Active","النشطون بدنياً","43193c15-058d-4124-a152-aec091e2f2b4","Enablers","عوامل التمكين","enablers","2","Priority","مشروع ذو أولوية","priority","2","d0b039d5-04b0-42b6-a656-c4d66d506e67","1","Enablers","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 10:50:53 AM",""
"298b09ad-4cf5-4503-b576-08ddb722adc3","2bcc3c02-5cdd-49d6-b383-badd008c63af","Value of VC deals directed to Qatar-based start-ups (as a % of GDP)","قيمة صفقات رأس المال الاستثماري الموجهة إلى الشركات الناشئة في قطر","43193c15-058d-4124-a152-aec091e2f2b4","Enablers","عوامل التمكين","enablers","2","Priority","مشروع ذو أولوية","priority","2","8d832af9-2cf0-4ed6-b3e6-28d51ee2d4f1","1","Enablers","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 11:12:18 AM",""
"cb53f44c-8e81-4ba5-b577-08ddb722adc3","5aa26781-72fa-4b93-98a8-50354363663e","Percentage of energy generated by solar","نسبة الطاقة المولدة من الطاقة الشمسية","9e884d56-31ee-4708-b724-25bca42205c7","Drivers","السائقين","drivers","2","Priority","مشروع ذو أولوية","priority","2","9f7bed06-248e-4511-af36-9196b3911dcc","2","Drivers","2","Amended","True","False","","True","False","False","False","","","","6/30/2025 11:15:14 AM",""
